representation,attacker,target,seed,test_samples,unseen_test_labels,accuracy,balanced_accuracy,macro_f1
V3_sigma001,RandomForest,dominant_rat,7,570,0,0.9719298245614035,0.6292080013010246,0.6292080013010246
V3_sigma001,MLP,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
V3_sigma001,GradientBoosting,dominant_rat,7,570,0,0.9789473684210527,0.5882257277606114,0.6196619217081851
V3_sigma010,LogisticRegression,dominant_rat,7,570,0,0.5877192982456141,0.7898032200357782,0.2751761671070844
V3_sigma010,RandomForest,dominant_rat,7,570,0,0.956140350877193,0.7102780939990242,0.6315449256625727
V3_sigma010,MLP,dominant_rat,7,570,0,0.980701754385965,0.5,0.4951284322409212
V3_sigma010,GradientBoosting,dominant_rat,7,570,0,0.9736842105263158,0.630102455683851,0.6361547299885102
V3_8D_sigma005,LogisticRegression,dominant_rat,7,570,0,0.9157894736842105,0.8233859164091722,0.6026951672862453
V3_8D_sigma005,RandomForest,dominant_rat,7,570,0,0.980701754385965,0.8564807285737519,0.7913546970150744
V3_8D_sigma005,MLP,dominant_rat,7,570,0,0.9842105263157894,0.6354691819808098,0.696
V3_8D_sigma005,GradientBoosting,dominant_rat,7,570,0,0.9859649122807017,0.8146040006505122,0.8146040006505122
Majority,Baseline,dominant_cpe,11,570,0,0.3280701754385965,0.25,0.12351387054161163
StratifiedRandom,Baseline,dominant_cpe,11,570,0,0.26666666666666666,0.26081633453195385,0.2592110115162875
RawPrivate,LogisticRegression,dominant_cpe,11,570,0,0.16140350877192983,0.2627389876641661,0.09907871924270195
RawPrivate,RandomForest,dominant_cpe,11,570,0,0.23859649122807017,0.29517633503829316,0.23089158071768606
RawPrivate,MLP,dominant_cpe,11,570,0,0.2719298245614035,0.24108385058178988,0.22116536600026945
RawPrivate,GradientBoosting,dominant_cpe,11,570,0,0.2754385964912281,0.307306563303575,0.275721436677319
V1,LogisticRegression,dominant_cpe,11,570,0,0.1543859649122807,0.2570097771156784,0.08413500797748716
V1,RandomForest,dominant_cpe,11,570,0,0.23684210526315788,0.28717264602168024,0.21614146869138612
V1,MLP,dominant_cpe,11,570,0,0.23859649122807017,0.2993703020178348,0.17553063008646475
V1,GradientBoosting,dominant_cpe,11,570,0,0.25263157894736843,0.2733115043420334,0.248085635018933
V2,LogisticRegression,dominant_cpe,11,570,0,0.1456140350877193,0.23168326953531465,0.09609718166341018
V2,RandomForest,dominant_cpe,11,570,0,0.17192982456140352,0.2332181421886063,0.1517024374244863
V2,MLP,dominant_cpe,11,570,0,0.26666666666666666,0.24099933705534832,0.2369890121265671
V2,GradientBoosting,dominant_cpe,11,570,0,0.2543859649122807,0.26235550033664934,0.2495654228640441
V3_sigma005,LogisticRegression,dominant_cpe,11,570,0,0.18070175438596492,0.27772731834200637,0.1315851761682559
V3_sigma005,RandomForest,dominant_cpe,11,570,0,0.18771929824561404,0.197699929930087,0.17983163750630393
V3_sigma005,MLP,dominant_cpe,11,570,0,0.3192982456140351,0.2615788108482001,0.21778223982256986
V3_sigma005,GradientBoosting,dominant_cpe,11,570,0,0.24385964912280703,0.23612597097431903,0.2349291647463496
PCA3,LogisticRegression,dominant_cpe,11,570,0,0.156140350877193,0.25986593024809584,0.08437352595247331
PCA3,RandomForest,dominant_cpe,11,570,0,0.21403508771929824,0.2205229620307692,0.20438698417882983
PCA3,MLP,dominant_cpe,11,570,0,0.16666666666666666,0.19248438232015858,0.1317968581944195
PCA3,GradientBoosting,dominant_cpe,11,570,0,0.23508771929824562,0.22310664999366603,0.2088418384397761
RandomProjection3,LogisticRegression,dominant_cpe,11,570,0,0.19649122807017544,0.299123714134074,0.14076753547680734
RandomProjection3,RandomForest,dominant_cpe,11,570,0,0.21578947368421053,0.23589185217000336,0.18740415590091597
RandomProjection3,MLP,dominant_cpe,11,570,0,0.20526315789473684,0.2682659702627923,0.1768888666481601
RandomProjection3,GradientBoosting,dominant_cpe,11,570,0,0.2824561403508772,0.27461778246671287,0.2395756608172703
V3_sigma0,LogisticRegression,dominant_cpe,11,570,0,0.17894736842105263,0.2747152701492353,0.13072023231560398
V3_sigma0,RandomForest,dominant_cpe,11,570,0,0.21228070175438596,0.23844891312400918,0.20502694077286068
V3_sigma0,MLP,dominant_cpe,11,570,0,0.32456140350877194,0.2741635923020133,0.24802465288967523
V3_sigma0,GradientBoosting,dominant_cpe,11,570,0,0.2614035087719298,0.25390678356118235,0.2527492328403967
V3_sigma001,LogisticRegression,dominant_cpe,11,570,0,0.1824561403508772,0.27663618708051213,0.13682016416875178
V3_sigma001,RandomForest,dominant_cpe,11,570,0,0.21228070175438596,0.2377523650923733,0.20299652107671146
V3_sigma001,MLP,dominant_cpe,11,570,0,0.28771929824561404,0.2419696997581409,0.21857103143174852
V3_sigma001,GradientBoosting,dominant_cpe,11,570,0,0.23157894736842105,0.22581567588045354,0.2234405732188822
V3_sigma010,LogisticRegression,dominant_cpe,11,570,0,0.18070175438596492,0.2764635218974871,0.13320660033171178
V3_sigma010,RandomForest,dominant_cpe,11,570,0,0.19824561403508772,0.21579881452831476,0.18565037338161763
V3_sigma010,MLP,dominant_cpe,11,570,0,0.30350877192982456,0.2507244535157611,0.2126711795829443
V3_sigma010,GradientBoosting,dominant_cpe,11,570,0,0.2543859649122807,0.24556705285352354,0.2443309087379159
V3_8D_sigma005,LogisticRegression,dominant_cpe,11,570,0,0.15087719298245614,0.24608639001241256,0.0908179786181084
V3_8D_sigma005,RandomForest,dominant_cpe,11,570,0,0.21052631578947367,0.2663320870672571,0.19745894653205506
V3_8D_sigma005,MLP,dominant_cpe,11,570,0,0.3175438596491228,0.28216493744736354,0.276740819479393
V3_8D_sigma005,GradientBoosting,dominant_cpe,11,570,0,0.2736842105263158,0.2973011135266752,0.26573076356443026
Majority,Baseline,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
StratifiedRandom,Baseline,dominant_rat,11,570,0,0.9719298245614035,0.49552772808586765,0.4928825622775801
RawPrivate,LogisticRegression,dominant_rat,11,570,0,0.980701754385965,0.9901610017889088,0.8283649503161699
RawPrivate,RandomForest,dominant_rat,11,570,0,0.9894736842105263,0.9500731826313222,0.5982046678635548
RawPrivate,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
RawPrivate,GradientBoosting,dominant_rat,11,570,0,0.9894736842105263,0.9500731826313222,0.8819223864107169
V1,LogisticRegression,dominant_rat,11,570,0,0.856140350877193,0.926654740608229,0.5661939411939412
V1,RandomForest,dominant_rat,11,570,0,0.980701754385965,0.544560091071719,0.5720428639683298
V1,MLP,dominant_rat,11,570,0,0.9491228070175438,0.48389982110912344,0.3246324632463246
V1,GradientBoosting,dominant_rat,11,570,0,0.9789473684210527,0.5436656366888925,0.5660999746257295
V2,LogisticRegression,dominant_rat,11,570,0,0.9421052631578948,0.8813628232232884,0.49466089466089463
V2,RandomForest,dominant_rat,11,570,0,0.9894736842105263,0.8163929094161653,0.8473214285714286
V2,MLP,dominant_rat,11,570,0,0.980701754385965,0.5,0.4951284322409212
V2,GradientBoosting,dominant_rat,11,570,0,0.9859649122807017,0.7254838185070743,0.774212715389186
